Gene_name	Essentiality	Sum_reads_truncated	Reads_10%_truncated																																																																																																																																																																																																																																																											
YAL069W	0	123	78	9	29	5	2																																																																																																																																																																																																																																																							
YAL068W-A	0	22	2	20																																																																																																																																																																																																																																																										
PAU8	0	14	14																																																																																																																																																																																																																																																											
YAL067W-A	0	0																																																																																																																																																																																																																																																												
SEO1	0	88	1	59	3	22	3	42	21	25	9	2	11	41	17	2	69																																																																																																																																																																																																																																													
YAL066W	0	71	71																																																																																																																																																																																																																																																											
YAL065C	0	17	6	1	10																																																																																																																																																																																																																																																									
YAL064W-B	0	95	5	1	6	74	9	1	30	1	16	71																																																																																																																																																																																																																																																		
TDA8	0	1	1																																																																																																																																																																																																																																																											
YAL064W	0	64	1	1	62																																																																																																																																																																																																																																																									
YAL063C-A	0	61	1	22	38																																																																																																																																																																																																																																																									
FLO9	0	19	3	7	1	7	1	2	1	89	7	2	25	18	76	1	1	75	6	18	14	6	53	4	1	4	15	12	18	1	1	1	18	1	9	1	12	7	24	1	1	20	1	2	45	25	38	10																																																																																																																																																																																																														
GDH3	0	369	1	1	19	347	1	69	1	94	139	3	4	4	76	14	11	1	1	1	1	51	37	32	104	18	68	183	2	6	22																																																																																																																																																																																																																															
BDH2	0	37	1	1	3	3	29	24	2	6	1	6	1																																																																																																																																																																																																																																																	
BDH1	0	69	10	2	38	5	14	6	183	1	1	71																																																																																																																																																																																																																																																		
YAL059C-A	0	165	95	8	62																																																																																																																																																																																																																																																									
ECM1	0	93	62	27	1	1	2																																																																																																																																																																																																																																																							
CNE1	0	242	67	10	50	1	114	4	3	10	4	11																																																																																																																																																																																																																																																		
YAL056C-A	0	22	11	1	1	9																																																																																																																																																																																																																																																								
GPB2	0	38	3	2	2	23	8	13	10	7	26	33	3	1	19	25	39	3	110	24	38	4	4	1	16	87	4	46	140	2	52	123	146	1	43	4	120	1	1																																																																																																																																																																																																																							
PEX22	0	0																																																																																																																																																																																																																																																												
ACS1	0	175	2	56	101	15	1	99	8	3	7	69	1	7	2	7	5	37	18	1	1	2	1	97	97	1	85	117	2	1																																																																																																																																																																																																																																
FLC2	0	89	1	5	3	63	17	5	1	1																																																																																																																																																																																																																																																				
OAF1	0	133	10	1	19	2	101	1	3	18	109	160	6	9	4	18	7	6	3	12	2	1																																																																																																																																																																																																																																								
AIM2	0	50	1	31	1	16	1	11																																																																																																																																																																																																																																																						
GEM1	0	110	3	13	80	6	8	6	6	21	53	6	2	2	2	4	1	39	1	11	1	1	53																																																																																																																																																																																																																																							
YAL047W-A	0	67	42	1	1	22	1	63	1	11	13	9	22																																																																																																																																																																																																																																																	
SPC72	0	0																																																																																																																																																																																																																																																												
BOL3	0	0																																																																																																																																																																																																																																																												
YAL045C	0	130	12	118																																																																																																																																																																																																																																																										
BOL1	0	130	12	118																																																																																																																																																																																																																																																										
GCV3	0	11	6	1	1	3																																																																																																																																																																																																																																																								
PTA1	1	204	2	11	31	80	80	1	30	264	19																																																																																																																																																																																																																																																			
YAL042C-A	0	0																																																																																																																																																																																																																																																												
ERV46	0	78	22	1	2	53																																																																																																																																																																																																																																																								
CDC24	1	76	70	6																																																																																																																																																																																																																																																										
CLN3	0	65	10	4	11	35	5	1	14	178	1																																																																																																																																																																																																																																																			
CYC3	0	75	1	2	50	14	8	17	1	3	26	2	1	1	21	2	1	104	1	1	3	12	40	1	21	133	7	2	32	1	2	2	10	1	4	37	2	2	35	29																																																																																																																																																																																																																						
CDC19	1	0																																																																																																																																																																																																																																																												
YAL037C-B	0	0																																																																																																																																																																																																																																																												
YAL037C-A	0	72	3	6	1	2	60	11	297																																																																																																																																																																																																																																																					
YAL037W	0	215	1	6	49	1	158	1	1																																																																																																																																																																																																																																																					
RBG1	0	252	4	61	1	122	64	2	1	1	1	50	2	5	26	2	5	1	1																																																																																																																																																																																																																																											
FUN12	0	19	10	9																																																																																																																																																																																																																																																										
YAL034C-B	1	116	33	1	1	73	8	21	1	1	1	2	1	105	3	2	9	9	83	10	12	108	3	6	2	2	1	9																																																																																																																																																																																																																																		
MTW1	1	56	1	1	7	2	45	12																																																																																																																																																																																																																																																						
FUN19	0	391	219	22	148	1	1	26	1	2	1	40	13	42	1	3	2																																																																																																																																																																																																																																													
POP5	1	3	3																																																																																																																																																																																																																																																											
PRP45	1	19	1	4	2	11	1	3	2	36	1	2																																																																																																																																																																																																																																																		
YAL031W-A	0	27	26	1																																																																																																																																																																																																																																																										
GIP4	0	80	2	33	36	3	6	71	3	1	1	1	6	3	1	1	19	4	1	6	6	7	3	9	7	20																																																																																																																																																																																																																																				
SNC1	0	107	5	40	25	5	32	1	18	2	23	2	13	4																																																																																																																																																																																																																																																
MYO4	0	23	10	3	3	1	6	7	191	116	17	95	42	11	6	4	44	2	2	28	10	32	7	22	17	66	19	1	16	1	3	6	3	1	18	1	1	12	5	8	20	1	1	18	1	2	4	1	110	5																																																																																																																																																																																																												
FRT2	0	172	45	72	1	53	1	81	219	18	1	1	91	412	276	213	11	26	1	13																																																																																																																																																																																																																																										
SAW1	0	281	5	14	259	2	1	78	26	23	16	1	5																																																																																																																																																																																																																																																	
YAL026C-A	0	95	6	17	68	1	3	7	12	31																																																																																																																																																																																																																																																				
DRS2	0	100	53	4	25	3	15	1	3	2	11	6	2	1	2	6	4																																																																																																																																																																																																																																													
MAK16	1	18	18																																																																																																																																																																																																																																																											
LTE1	0	115	2	4	63	5	41	30	15	1																																																																																																																																																																																																																																																				
PMT2	0	301	16	234	1	27	23	6	1	3	3	8	8	57	69	19	1	2																																																																																																																																																																																																																																												
FUN26	0	288	61	142	36	30	19	13	13	50	314	23	1	75	1	1	103	3	1	33	2	77																																																																																																																																																																																																																																								
CCR4	0	54	3	21	6	3	21	123	2	21	1	6	1	10	9																																																																																																																																																																																																																																															
ATS1	0	219	32	1	186																																																																																																																																																																																																																																																									
YAL019W-A	0	555	186	63	155	52	99	10	150	116	48																																																																																																																																																																																																																																																			
FUN30	0	448	15	352	18	30	33	1	17	1	2	5	2	23	21	25	194	3	3	2	20	5	3	3	2	42	8	11	3	57																																																																																																																																																																																																																																
LDS1	0	87	1	5	62	18	1	2	41	5	67	23	47	71	2	5	46	46	47	11	61	3																																																																																																																																																																																																																																								
PSK1	0	80	67	2	9	1	1	71	3	7	35	2	15	14	1	1	4	18	45	5	4	4	3	22	3	11	48	260	1	15																																																																																																																																																																																																																																
YAL016C-B	0	77	2	7	10	6	52	8	7	16	9	6																																																																																																																																																																																																																																																		
YAL016C-A	0	10	10																																																																																																																																																																																																																																																											
TPD3	0	0																																																																																																																																																																																																																																																												
NTG1	0	46	1	36	7	1	1	2	1	31	1	1	148	2	280	19	282	55	53	99	50	1	30	17	115																																																																																																																																																																																																																																					
SYN8	0	299	1	13	12	16	257	1	1	19																																																																																																																																																																																																																																																				
DEP1	0	116	3	58	31	1	23	1	15	2	3	56	1																																																																																																																																																																																																																																																	
CYS3	0	0																																																																																																																																																																																																																																																												
SWC3	0	65	15	1	9	13	27	10	13	7	1	9	11	9	5	11	1	15	25	81	23	1	17	1	16	13	2	8	8	2	11	54	18	13	9	25																																																																																																																																																																																																																										
MDM10	0	14	12	2																																																																																																																																																																																																																																																										
SPO7	0	14	2	2	1	4	5	1	2	1	1	23	1																																																																																																																																																																																																																																																	
FUN14	0	284	17	139	8	2	118	142	81	3	107	45	15	2	302	2	29	13	107	11	20	1	16	1	1																																																																																																																																																																																																																																					
ERP2	0	31	3	6	1	1	20	27	2	102	1	1	124	60	61	1	206	27	1	6	16																																																																																																																																																																																																																																									
SSA1	0	31	1	9	1	18	2	3	2	1	2	42	1	8	4	12	14	9	4	1	6	3	3																																																																																																																																																																																																																																							
YAL004W	0	205	6	3	3	40	153	1																																																																																																																																																																																																																																																						
EFB1	1	34	34																																																																																																																																																																																																																																																											
VPS8	0	58	2	39	1	2	14	2	3	31	31	33	5	24	5	16	34	110	17	37	1	10	1	21	2	15	1	10	10	10	5	23	44	1	7	1	5	28	22	1	1	1	3	1	3	113	4	4	1	3	8	4	1	2	134	3	13	2	16	63	5	2	13	109	109	1	6	1	1	7	1	1	1																																																																																																																																																																																					
TFC3	1	0																																																																																																																																																																																																																																																												
NUP60	0	278	18	11	14	2	233	412	258	4	2	1	251	1	58	456	5	3	1	1	10	34	2	17	1	2	5	278	1	29	2	1	80	8	17	42	1	141	9	1	2	1	214	46	23	3	103	87	1	3	3	23	33	2	13	45	1	1	2	20	1	35	1	134	4	2	25	25	4	1	1	1	5	1	20	9																																																																																																																																																																																		
ERP1	0	328	3	65	7	12	241	8	1	3	47	11	50	24	3	6	424	81	5	48	35	95	1	2	1	3	21	2	3	1	6	1																																																																																																																																																																																																																														
SWD1	0	394	1	367	4	1	21	91	43	1	64	53	3	39	52	11	16	1	54	1	35	8	2	6	4	1	34	1	106	42	11	75	50	26	23	8																																																																																																																																																																																																																										
RFA1	1	28	28																																																																																																																																																																																																																																																											
SEN34	1	0																																																																																																																																																																																																																																																												
BUD14	0	85	1	2	70	11	1	52	18	1	23	245	1	43	1	20	51	12	76	80	1	1	3	10	34	34	64	6	1	5	72	6	26	4	1	2	51	65	6	9	22	78	34	12	139	2	116	44	7	204	15																																																																																																																																																																																																											
ADE1	0	0																																																																																																																																																																																																																																																												
KIN3	0	33	19	5	6	1	2	10	1	5	2	34	1	17	17																																																																																																																																																																																																																																															
CDC15	1	0																																																																																																																																																																																																																																																												
YAR019W-A	0	10	1	1	3	3	2	3	1	68	14	2																																																																																																																																																																																																																																																		
PAU7	0	139	41	1	4	87	6	19	5	4	88	1	28																																																																																																																																																																																																																																																	
YAR023C	0	8	1	1	2	2	2	2	225	1	199	79	271	63	12	1	23																																																																																																																																																																																																																																													
UIP3	0	140	92	2	1	44	1	1	4																																																																																																																																																																																																																																																					
YAR028W	0	195	6	2	1	21	165	4	39																																																																																																																																																																																																																																																					
