Gene_name	Essentiality	Sum_reads_truncated
YAL069W	0	123
YAL068W-A	0	22
PAU8	0	14
YAL067W-A	0	0
SEO1	0	88
YAL066W	0	71
YAL065C	0	17
YAL064W-B	0	95
TDA8	0	1
YAL064W	0	64
YAL063C-A	0	61
FLO9	0	19
GDH3	0	369
BDH2	0	37
BDH1	0	69
YAL059C-A	0	165
ECM1	0	93
CNE1	0	242
YAL056C-A	0	22
GPB2	0	38
PEX22	0	0
ACS1	0	175
FLC2	0	89
OAF1	0	133
AIM2	0	50
GEM1	0	110
YAL047W-A	0	67
SPC72	0	0
BOL3	0	0
YAL045C	0	130
BOL1	0	130
GCV3	0	11
PTA1	1	204
YAL042C-A	0	0
ERV46	0	78
CDC24	1	76
CLN3	0	65
CYC3	0	75
CDC19	1	0
YAL037C-B	0	0
YAL037C-A	0	72
YAL037W	0	215
RBG1	0	252
FUN12	0	19
YAL034C-B	1	116
MTW1	1	56
FUN19	0	391
POP5	1	3
PRP45	1	19
YAL031W-A	0	27
GIP4	0	80
SNC1	0	107
MYO4	0	23
FRT2	0	172
SAW1	0	281
YAL026C-A	0	95
DRS2	0	100
MAK16	1	18
LTE1	0	115
PMT2	0	301
FUN26	0	288
CCR4	0	54
ATS1	0	219
YAL019W-A	0	555
FUN30	0	448
LDS1	0	87
PSK1	0	80
YAL016C-B	0	77
YAL016C-A	0	10
TPD3	0	0
NTG1	0	46
SYN8	0	299
DEP1	0	116
CYS3	0	0
SWC3	0	65
MDM10	0	14
SPO7	0	14
FUN14	0	284
ERP2	0	31
SSA1	0	31
YAL004W	0	205
EFB1	1	34
VPS8	0	58
TFC3	1	0
NUP60	0	278
ERP1	0	328
SWD1	0	394
RFA1	1	28
SEN34	1	0
BUD14	0	85
ADE1	0	0
KIN3	0	33
CDC15	1	0
YAR019W-A	0	10
PAU7	0	139
YAR023C	0	8
UIP3	0	140
YAR028W	0	195
YAR029W	0	30
YAR030C	0	2
PRM9	0	45
MST28	0	61
YAT1	0	76
YAR035C-A	0	34
SWH1	0	224
YAR047C	0	17
FLO1	0	104
YAR053W	0	7
YAR060C	0	14
YAR064W	0	42
YAR066W	0	1
YAR068W	0	67
YAR069C	0	13
YAR070C	0	0
PHO11	0	50
IMD1	0	272
YAR075W	0	145
YBL113C	0	271
YBL113W-A	0	2
YBL112C	0	23
YBL111C	0	30
YBL109W	0	10
PAU9	0	0
YBL108W	0	81
YBL107W-A	0	22
MIX23	0	17
SRO77	0	102
PKC1	1	0
SEA4	0	91
RTG3	0	110
SFT2	1	0
ECM21	0	27
YBL100W-C	0	75
YBL100C	0	0
ATP1	0	3
BNA4	0	481
BRN1	1	0
YBL096C	0	0
MRX3	0	15
YBL094C	0	10
ROX3	0	0
RPL32	1	0
SCS22	0	0
MAP2	0	16
MRP21	0	2
AVT5	0	225
TEL1	0	37
RPL23A	0	248
YBL086C	0	27
BOI1	0	96
CDC27	1	1
YBL083C	0	0
ALG3	0	99
YBL081W	0	79
PET112	0	89
NUP170	0	38
ATG8	0	0
YBL077W	1	170
ILS1	1	1
SSA3	0	105
AAR2	1	27
YBL073W	1	232
RPS8A	0	1
YBL071C-B	0	0
KTI11	0	0
YBL071C	0	2
YBL070C	0	0
AST1	0	166
YBL068W-A	0	0
PRS4	0	67
UBP13	0	195
SEF1	0	74
YBL065W	0	222
PRX1	0	74
KIP1	0	42
YBL062W	0	0
SKT5	0	110
YEL1	0	353
CMC2	0	0
YBL059W	0	56
SHP1	0	29
PTH2	0	166
PTC3	0	9
YBL055C	0	393
TOD6	0	319
YBL053W	0	261
SAS3	0	26
PIN4	0	52
SEC17	1	0
MOH1	0	1
RRT1	0	26
EDE1	0	240
PSY4	0	68
COR1	0	1
YBL044W	0	898
ECM13	0	222
FUI1	0	166
PRE7	1	0
ERD2	1	0
YBL039W-B	0	4
URA7	0	162
YBL039C-A	0	0
MRPL16	0	129
APL3	0	41
YBL036C	0	90
POL12	1	1
STU1	1	51
RIB1	0	0
HEK2	0	19
SHE1	0	53
PET9	1	0
YBL029C-A	0	75
YBL029W	0	271
YBL028C	0	26
RPL19B	0	3
LSM2	1	0
RRN10	0	0
NCL1	0	53
MCM2	1	0
PIM1	0	130
HAP3	0	42
RFT1	1	0
APN2	0	87
POP8	1	68
PEP1	0	39
FUS3	0	112
ACH1	0	124
RRN6	1	285
FMT1	0	383
YBL012C	0	73
SCT1	0	79
YBL010C	0	80
ALK2	0	15
YBL008W-A	0	197
HIR1	0	35
SLA1	0	34
LDB7	0	684
