gene_name	number_of_transposon_per_gene	number_of_read_pergene
YAL069W 	17 	503 	
YAL068W-A 	3 	22 	
PAU8 	17 	154 	
YAL067W-A 	9 	38 	
SEO1 	52 	1011 	
YAL066W 	15 	183 	
YAL065C 	15 	143 	
YAL064W-B 	18 	283 	
TDA8 	3 	31 	
YAL064W 	17 	207 	
YAL063C-A 	11 	226 	
FLO9 	227 	4256 	
GDH3 	141 	4334 	
BDH2 	88 	2336 	
BDH1 	74 	1953 	
YAL059C-A 	13 	253 	
ECM1 	19 	531 	
CNE1 	84 	2534 	
YAL056C-A 	27 	661 	
GPB2 	143 	3946 	
PEX22 	17 	244 	
ACS1 	136 	4498 	
FLC2 	79 	2251 	
OAF1 	116 	2876 	
AIM2 	30 	465 	
GEM1 	105 	1753 	
YAL047W-A 	30 	338 	
SPC72 	20 	434 	
AIM1 	26 	499 	
YAL045C 	10 	124 	
YAL044W-A 	16 	159 	
GCV3 	55 	1858 	
PTA1 	43 	674 	
YAL042C-A 	31 	1057 	
ERV46 	118 	4042 	
CDC24 	35 	704 	
CLN3 	48 	1186 	
CYC3 	208 	6470 	
CDC19 	23 	234 	
YAL037C-B 	17 	94 	
YAL037C-A 	9 	147 	
YAL037W 	40 	925 	
RBG1 	65 	1953 	
FUN12 	25 	418 	
YAL034C-B 	37 	1463 	
MTW1 	30 	433 	
FUN19 	62 	1294 	
POP5 	5 	9 	
PRP45 	75 	2240 	
YAL031W-A 	16 	145 	
GIP4 	86 	1817 	
SNC1 	26 	651 	
MYO4 	221 	5988 	
FRT2 	88 	3065 	
SAW1 	56 	944 	
YAL026C-A 	29 	349 	
DRS2 	110 	1592 	
MAK16 	4 	35 	
LTE1 	66 	940 	
PMT2 	135 	3030 	
FUN26 	97 	3527 	
CCR4 	91 	2491 	
ATS1 	87 	2118 	
YAL019W-A 	73 	2860 	
FUN30 	111 	2742 	
LDS1 	52 	955 	
PSK1 	173 	4903 	
YAL016C-B 	18 	101 	
YAL016C-A 	20 	855 	
TPD3 	11 	58 	
NTG1 	105 	3806 	
SYN8 	60 	1959 	
DEP1 	66 	687 	
CYS3 	25 	310 	
SWC3 	113 	1949 	
MDM10 	20 	171 	
SPO7 	58 	749 	
FUN14 	68 	2920 	
ERP2 	76 	3023 	
SSA1 	176 	3452 	
YAL004W 	39 	587 	
EFB1 	6 	14 	
VPS8 	426 	19343 	
TFC3 	38 	864 	
NUP60 	280 	12301 	
ERP1 	142 	6971 	
SWD1 	141 	5264 	
RFA1 	10 	53 	
SEN34 	24 	488 	
BUD14 	170 	3538 	
ADE1 	13 	243 	
KIN3 	73 	2070 	
CDC15 	51 	775 	
YAR019W-A 	63 	2607 	
PAU7 	15 	392 	
YAR023C 	71 	4075 	
UIP3 	39 	811 	
YAR028W 	54 	1718 	
YAR029W 	11 	126 	
YAR030C 	11 	169 	
PRM9 	64 	1323 	
MST28 	88 	1864 	
YAT1 	338 	10220 	
YAR035C-A 	13 	76 	
SWH1 	195 	4360 	
YAR047C 	8 	45 	
FLO1 	249 	4720 	
YAR053W 	8 	139 	
YAR060C 	22 	306 	
YAR064W 	29 	306 	
YAR066W 	12 	162 	
YAR068W 	15 	276 	
YAR069C 	10 	63 	
YAR070C 	14 	91 	
PHO11 	31 	336 	
IMD1 	28 	389 	
YAR075W 	10 	175 	
YBL113C 	82 	1822 	
YBL113W-A 	7 	92 	
YBL112C 	7 	26 	
YBL111C 	42 	842 	
YBL109W 	9 	19 	
PAU9 	1 	0 	
YBL108W 	9 	60 	
YBL107W-A 	21 	352 	
MIX23 	36 	702 	
SRO77 	86 	1032 	
PKC1 	97 	1667 	
SEA4 	130 	2642 	
RTG3 	49 	694 	
SFT2 	44 	686 	
ECM21 	154 	2287 	
YBL100W-C 	9 	49 	
YBL100C 	10 	182 	
ATP1 	81 	1922 	
BNA4 	79 	2230 	
BRN1 	135 	2554 	
YBL096C 	24 	682 	
YBL095W 	60 	1294 	
YBL094C 	20 	251 	
ROX3 	41 	1661 	
RPL32 	46 	482 	
SCS22 	16 	434 	
MAP2 	74 	2774 	
MRP21 	17 	289 	
AVT5 	40 	1398 	
TEL1 	446 	11428 	
RPL23A 	8 	17 	
YBL086C 	138 	5206 	
BOI1 	77 	1587 	
CDC27 	356 	11495 	
YBL083C 	76 	1505 	
ALG3 	227 	7706 	
YBL081W 	21 	231 	
PET112 	105 	2039 	
NUP170 	160 	4978 	
ATG8 	24 	310 	
YBL077W 	13 	296 	
ILS1 	228 	6871 	
SSA3 	86 	2224 	
AAR2 	73 	2442 	
YBL073W 	16 	354 	
RPS8A 	33 	1161 	
YBL071C-B 	4 	40 	
KTI11 	5 	35 	
YBL071C 	13 	192 	
YBL070C 	22 	345 	
AST1 	69 	1995 	
YBL068W-A 	20 	429 	
PRS4 	74 	1910 	
UBP13 	150 	4570 	
SEF1 	101 	2395 	
YBL065W 	11 	53 	
PRX1 	3 	33 	
KIP1 	55 	561 	
YBL062W 	7 	118 	
SKT5 	136 	3420 	
YEL1 	160 	4864 	
CMC2 	40 	1100 	
YBL059W 	45 	410 	
SHP1 	38 	1012 	
PTH2 	34 	814 	
PTC3 	137 	5021 	
YBL055C 	50 	924 	
TOD6 	85 	1677 	
YBL053W 	13 	81 	
SAS3 	124 	3533 	
PIN4 	153 	6020 	
SEC17 	5 	43 	
MOH1 	26 	999 	
RRT1 	33 	1148 	
EDE1 	315 	7801 	
PSY4 	70 	1379 	
COR1 	21 	176 	
YBL044W 	19 	87 	
ECM13 	108 	3838 	
FUI1 	389 	18193 	
PRE7 	204 	6263 	
ERD2 	9 	122 	
YBL039W-B 	65 	5643 	
URA7 	148 	3222 	
YBL039C-A 	8 	69 	
MRPL16 	50 	506 	
APL3 	175 	13981 	
YBL036C 	28 	825 	
POL12 	340 	13231 	
STU1 	522 	21087 	
RIB1 	114 	6864 	
HEK2 	233 	1157 	
SHE1 	161 	850 	
PET9 	210 	1158 	
YBL029C-A 	62 	300 	
YBL029W 	157 	4355 	
YBL028C 	28 	542 	
RPL19B 	106 	6653 	
LSM2 	24 	249 	
RRN10 	48 	2789 	
NCL1 	34 	406 	
MCM2 	310 	11752 	
PIM1 	394 	18172 	
HAP3 	53 	1816 	
RFT1 	182 	3891 	
APN2 	130 	3508 	
POP8 	23 	157 	
PEP1 	627 	18577 	
FUS3 	77 	1381 	
ACH1 	70 	1373 	
RRN6 	189 	5737 	
FMT1 	70 	2252 	
YBL012C 	11 	162 	
SCT1 	129 	1943 	
YBL010C 	31 	375 	
ALK2 	133 	3671 	
YBL008W-A 	6 	24 	
HIR1 	144 	2375 	
SLA1 	218 	3407 	
LDB7 	19 	148 	
YBL006W-A 	4 	18 	
PDR3 	180 	3921 	
UTP20 	604 	6311 	
HTA2 	65 	431 	
HTB2 	15 	422 	
ECM15 	6 	29 	
NTH2 	116 	1569 	
RER2 	15 	146 	
COQ1 	47 	808 	
GPI18 	13 	172 	
RCR1 	22 	393 	
UGA2 	42 	680 	
DSF2 	93 	2838 	
FLR1 	48 	1402 	
HHF1 	7 	58 	
HHT1 	9 	28 	
IPP1 	13 	168 	
YBR012C 	32 	884 	
YBR013C 	28 	63 	
GRX7 	31 	493 	
MNN2 	27 	317 	
YBR016W 	12 	225 	
KAP104 	65 	1066 	
GAL7 	53 	894 	
GAL10 	72 	1531 	
GAL1 	49 	984 	
FUR4 	78 	2148 	
POA1 	8 	32 	
CHS3 	47 	529 	
SCO2 	41 	769 	
OLA1 	66 	1409 	
ETR1 	57 	1193 	
YBR027C 	9 	56 	
YPK3 	19 	151 	
CDS1 	59 	1746 	
RKM3 	17 	259 	
RPL4A 	43 	884 	
YBR032W 	19 	314 	
EDS1 	76 	1431 	
HMT1 	52 	1327 	
PDX3 	20 	112 	
CSG2 	47 	735 	
SCO1 	28 	625 	
CHS2 	59 	1530 	
ATP3 	21 	460 	
